food_name,serving,calories,protein_g,fat_g,carbs_g,meal_tags,diet_tags
Gỏi cuốn tôm thịt,1 Cái,160,8,2,15,lunch|dinner|afternoon,low_calorie|low_fat|low_carb
Bánh mì thịt nướng,1 ổ vừa,460,18,12,50,breakfast|lunch|dinner,moderate_calorie|moderate_protein|balanced
Bún đậu mắm tôm,1 phần,700,20,22,75,lunch|dinner,high_calorie|high_protein|high_fat|high_carb|high_fiber
Bún chả Hà Nội,1 phần,650,25,20,60,lunch|dinner,high_calorie|high_protein|high_fat|high_carb|high_fiber|balanced
Mì xào Bò,1 đĩa,650,22,18,65,lunch|dinner,high_calorie|high_protein|high_carb|high_fiber|balanced
KimBap,1 Khoanh,50,8,5,40,lunch|dinner|afternoon,low_calorie|low_fat
Hột vịt lộn,1 trái,98,13.6,11.7,0,breakfast|lunch|dinner|afternoon,low_calorie|moderate_protein|low_carb
Xôi vò,1 gói,509,8.4,5.2,62.6,breakfast,moderate_calorie|low_fat|high_carb
Xôi vị,1 gói,459,7.3,4.8,65.3,breakfast,moderate_calorie|low_fat|high_carb
Xôi nếp than,1 gói,515,6.5,3.2,67.4,breakfast,moderate_calorie|low_fat|high_carb
Xôi mặn,1 gói,499,9.8,12.5,55.8,breakfast,moderate_calorie
Xôi lá cẩm,1 gói,577,6.4,3.6,68.3,breakfast,high_calorie|low_fat|high_carb
Xôi khúc (cúc),1 gói,395,10.4,9.5,55.3,breakfast,moderate_calorie|balanced
Xôi gấc,1 gói,589,7,3.7,68.9,breakfast,high_calorie|low_fat|high_carb
Xôi đậu xanh,1 gói,532,7.5,4.1,67.5,breakfast,moderate_calorie|low_fat|high_carb
Xôi đậu phộng,1 gói,659,8.3,6.8,64.3,breakfast|lunch|dinner,high_calorie|low_fat|high_carb
Xôi đậu đen,1 gói,550,7.6,4.3,66.2,breakfast,moderate_calorie|low_fat|high_carb
Xôi bắp,1 gói,313,7,3.7,67.1,breakfast,moderate_calorie|low_fat|high_carb
Bắp giã,1 gói,328,10,1.5,72,afternoon|lunch,moderate_calorie|low_fat|high_carb|high_fiber|balanced
Há cảo,1 đĩa,363,4.8,3.2,22.4,afternoon,moderate_calorie|low_fat
Giò cháo quẩy,1 cái đôi,117,6.3,15.8,42.2,breakfast|afternoon,low_calorie
Bánh xèo,1 cái,517,8.4,16.7,41.6,lunch|dinner,moderate_calorie
Bánh ướt,1 đĩa,749,5.6,4.1,53.4,lunch|dinner,high_calorie|low_fat
Bánh tét nhân mặn,1 cái,407,8.4,12.5,52.3,lunch|dinner,moderate_calorie
Bánh tét nhân đậu ngọt,1 cái,444,7.3,11.2,56.1,lunch|dinner,moderate_calorie
Bánh tét nhân chuối,1 cái,302,6.9,10.6,53.2,afternoon|lunch,moderate_calorie
Bánh sừng trâu,1 cái,227,7.2,18.5,51.3,afternoon,low_calorie
Bánh patechaud,1 cái,374,10,25,45,lunch|dinner,moderate_calorie|high_fat|balanced
Bánh mì thịt,1 ổ,461,20,15,55,breakfast|lunch|dinner,moderate_calorie|high_protein|balanced
Bánh mì sandwich kẹp thịt,1 cái,468,15,20,45,breakfast|lunch|dinner,moderate_calorie|moderate_protein|high_fat|balanced
Bánh mì sandwich,1 lát vuông,89,8,4,45,breakfast|lunch|dinner|afternoon,low_calorie|low_fat
Bánh mì ổ,1 ổ trung bình,239,10,3,50,breakfast|lunch|dinner|afternoon,low_calorie|low_fat
